Username , Password
"Shreyas","Shrey123"
"Wrangler1","wrangler01"
"Wrangler2","Wrangler02"
"Wrangler3","Wrangler03"
"Wrangler4","Wrangler04"
"Wrangler5","Wrangler05"
"Wrangler6","wrangler06"
"Wrangler7","wrangler07"
"Wrangler8","wrangler08"
"Wrangler9","wrangler09"
"Wrangler11","wrangler11"
"Wrangler12","wrangler12"
"Wrangler13","wrangler13"
"Wrangler14","wrangler14"
"Wrangler15","wrangler15"
"Wrangler16","wrangler16"
"Wrangler17","wrangler17"
"Wrangler18","wrangler18"
"Wrangler19","wrangler19"
"Wrangler20","wrangler20"
"Wrangler21","wrangler21"
"Wrangler23","wrangler23"
"Wrangler25","wrangler25"
"Wrangler10","wrangler10"
"Wrangler22","wrangler22"
"Wrangler24","wrangler24"
"Wrangler26","wrangler26"
"Wrangler27","wrangler27"
"Wrangler28","wrangler28"
"Wrangler29","wrangler29"
"Wrangler30","wrangler30"
